Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol
02/18/22,92.90,90.21,-1.55,-1.69,93.00,93.00,"334,319.00",239539
02/17/22,91.68,91.76,-1.90,-2.03,91.37,91.77,"103,461.00",188922
02/16/22,90.62,93.66,1.59,1.73,90.57,90.68,"155,289.00",361057
02/15/22,92.10,92.07,-3.39,-3.55,92.06,92.20,"187,695.00",401815
02/14/22,94.78,95.46,2.36,2.53,94.75,94.83,"223,594.00",437005
02/11/22,93.90,93.10,3.22,3.58,93.72,94.18,"246,972.00",518340
02/10/22,90.05,89.88,0.22,0.25,90.01,90.09,"269,301.00",455913
02/09/22,90.02,89.66,0.30,0.34,89.98,90.04,"298,977.00",408290
02/08/22,89.78,89.36,-1.96,-2.15,89.73,89.82,"315,035.00",429214
02/07/22,91.63,91.32,-0.99,-1.07,91.57,91.66,"334,053.00",463483
02/04/22,91.93,92.31,2.04,2.26,91.87,92.02,"355,345.00",392350
02/03/22,90.19,90.27,2.01,2.28,90.15,90.23,"361,567.00",443424
02/02/22,88.01,88.26,0.06,0.07,87.97,88.05,"372,661.00",432060
02/01/22,88.36,88.20,0.05,0.06,88.25,88.47,"396,246.00",354875
01/31/22,88.15,88.15,1.33,1.53,88.12,88.18,"417,134.00",335056
01/28/22,87.29,86.82,0.21,0.24,87.26,87.34,"429,948.00",419868
01/27/22,87.28,86.61,-0.74,-0.85,87.24,87.33,"437,122.00",411978
01/26/22,87.15,87.35,1.75,2.04,87.15,87.23,"439,545.00",442128
01/25/22,85.17,85.60,2.29,2.75,85.14,85.20,"434,000.00",492368
01/24/22,84.08,83.31,-1.83,-2.15,84.04,84.12,"439,024.00",495716
01/21/22,84.83,85.14,-0.41,-0.48,84.75,84.87,"445,926.00",488219
01/20/22,84.48,85.55,-0.25,-0.29,84.44,84.51,"426,590.00",518482
01/19/22,85.03,85.80,0.37,0.43,84.98,85.07,"407,498.00",475911
01/18/22,86.56,85.43,1.61,1.92,86.31,89.90,"106,926.00",140652
01/14/22,84.27,83.82,1.70,2.07,84.26,84.36,"130,928.00",338268
01/13/22,81.70,82.12,-0.52,-0.63,81.65,81.71,"161,242.00",326008
01/12/22,82.76,82.64,1.42,1.75,82.76,82.79,"184,401.00",385040
01/11/22,81.33,81.22,2.99,3.82,81.30,81.36,"208,765.00",442359
01/10/22,78.43,78.23,-0.67,-0.85,78.41,78.46,"238,961.00",356260
01/07/22,78.94,78.90,-0.56,-0.70,78.90,79.01,"257,571.00",383363
01/06/22,79.66,79.46,1.61,2.07,79.63,79.69,"262,999.00",457889
01/05/22,77.19,77.85,0.86,1.12,77.15,77.23,"269,201.00",379035
01/04/22,77.21,76.99,0.91,1.20,77.15,77.22,"273,713.00",354487
01/03/22,75.99,76.08,0.87,1.16,75.97,76.03,"278,572.00",299734
12/31/21,75.45,75.21,-1.78,-2.31,75.37,75.47,"285,131.00",220573
12/30/21,76.46,76.99,0.43,0.56,76.43,76.50,"292,361.00",219634
12/29/21,76.59,76.56,0.58,0.76,76.56,76.62,"289,951.00",271934
12/28/21,76.05,75.98,0.41,0.54,75.98,76.06,"288,697.00",239539
12/27/21,75.94,75.57,1.78,2.41,75.93,75.98,"287,984.00",253684
12/23/21,73.76,73.79,1.03,1.42,73.69,73.78,"297,118.00",253529
12/22/21,73.03,72.76,1.64,2.31,72.99,73.06,"307,464.00",295571
12/21/21,71.27,71.12,2.51,3.66,71.27,71.35,"318,425.00",343262
12/20/21,69.22,68.61,-2.11,-2.98,69.19,69.25,"313,082.00",476176
12/17/21,70.14,70.72,-1.66,-2.29,70.06,70.15,"309,492.00",333713
12/16/21,71.98,72.38,1.51,2.13,71.85,72.16,"76,613.00",121440
12/15/21,71.45,70.87,0.14,0.20,71.45,71.49,"107,862.00",271593
12/14/21,70.29,70.73,-0.56,-0.79,70.23,70.31,"130,405.00",330236
12/13/21,71.13,71.29,-0.38,-0.53,71.09,71.17,"163,631.00",362043
12/10/21,71.96,71.67,0.73,1.03,71.94,72.02,"194,785.00",359324
12/09/21,70.61,70.94,-1.42,-1.96,70.56,70.64,"219,672.00",358015
12/08/21,72.65,72.36,0.31,0.43,72.62,72.68,"250,236.00",433777
12/07/21,71.73,72.05,2.56,3.68,71.69,71.75,"291,799.00",455978
12/06/21,70.03,69.49,3.23,4.87,70.00,70.05,"301,105.00",381415
12/03/21,66.22,66.26,-0.24,-0.36,66.22,66.32,"311,807.00",429169
12/02/21,67.37,66.50,0.93,1.42,67.30,67.50,"319,191.00",647830
12/01/21,65.70,65.57,-0.61,-0.92,65.45,65.88,"356,410.00",577281
11/30/21,67.00,66.18,-3.77,-5.39,66.93,67.00,"351,124.00",695141
11/29/21,70.06,69.95,1.80,2.64,70.01,70.08,"374,123.00",654128
11/26/21,68.17,68.15,-10.24,-13.06,68.00,68.29,"370,982.00",825163
11/24/21,78.32,78.39,-0.11,-0.14,78.30,78.37,"379,241.00",312443
11/23/21,78.50,78.50,1.75,2.28,78.49,78.55,"384,851.00",487578
11/22/21,76.49,76.75,0.81,1.07,76.45,76.51,"390,599.00",450842
11/19/21,75.68,75.94,-2.47,-3.15,75.66,75.72,"384,626.00",606060
11/18/21,78.32,78.41,0.05,0.06,78.28,78.34,"383,360.00",408474
11/17/21,78.23,78.36,-2.40,-2.97,77.69,78.72,"91,215.00",151244
11/16/21,80.58,80.76,-0.12,-0.15,80.58,80.66,"145,828.00",298561
11/15/21,80.95,80.88,0.09,0.11,80.92,80.97,"168,458.00",315309
11/12/21,80.69,80.79,-0.80,-0.98,80.65,80.71,"189,902.00",366085
11/11/21,81.18,81.59,0.25,0.31,81.16,81.21,"208,865.00",438940
11/10/21,81.30,81.34,-2.81,-3.34,81.25,81.31,"252,071.00",517666
11/09/21,84.57,84.15,2.22,2.71,84.53,84.59,"273,545.00",469906
11/08/21,82.21,81.93,0.66,0.81,82.19,82.24,"297,245.00",362989
11/05/21,81.17,81.27,2.46,3.12,81.15,81.21,"323,592.00",495564
11/04/21,79.33,78.81,-2.05,-2.54,79.31,79.37,"331,155.00",679979
11/03/21,80.11,80.86,-3.05,-3.63,80.01,80.16,"343,003.00",521441
11/02/21,82.96,83.91,-0.14,-0.17,82.94,83.00,"358,147.00",406851
11/01/21,83.84,84.05,0.48,0.57,83.82,83.87,"378,537.00",391380
10/29/21,83.22,83.57,0.76,0.92,83.20,83.25,"392,529.00",480154
10/28/21,83.06,82.81,0.15,0.18,83.03,83.08,"393,620.00",465907
10/27/21,82.07,82.66,-1.99,-2.35,82.03,82.07,"404,651.00",514578
10/26/21,84.44,84.65,0.89,1.06,84.43,84.48,"415,566.00",450497
10/25/21,83.71,83.76,,,83.70,83.72,"434,946.00",552769
10/22/21,83.98,83.76,1.26,1.53,83.97,84.01,"453,545.00",449253
10/21/21,82.63,82.50,-0.92,-1.10,82.60,82.65,"483,475.00",550857
10/20/21,83.57,83.42,0.98,1.19,83.55,83.59,"482,107.00",510129
10/19/21,82.46,82.44,0.75,0.92,82.43,82.48,"481,018.00",507094
10/18/21,81.53,81.69,-0.59,-0.72,81.49,81.57,"465,906.00",481452
10/15/21,82.66,82.28,0.97,1.19,82.60,82.67,"131,989.00",244384
10/14/21,81.43,81.31,0.87,1.08,81.42,81.47,"171,311.00",377617
10/13/21,80.61,80.44,-0.20,-0.25,80.59,80.63,"207,644.00",446933
10/12/21,80.56,80.64,0.12,0.15,80.53,80.57,"245,635.00",563724
10/11/21,80.48,80.52,1.17,1.47,80.47,80.51,"315,706.00",616208
10/08/21,79.59,79.35,1.05,1.34,79.58,79.63,"355,887.00",617865
10/07/21,78.85,78.30,0.87,1.12,78.81,78.86,"380,142.00",512312
10/06/21,76.94,77.43,-1.50,-1.90,76.90,76.95,"396,504.00",442865
10/05/21,79.08,78.93,1.31,1.69,79.05,79.10,"410,814.00",421795
10/04/21,77.60,77.62,1.74,2.29,77.55,77.70,"421,794.00",434907
10/01/21,75.75,75.88,0.85,1.13,75.70,75.95,"433,297.00",366613
09/30/21,75.12,75.03,0.20,0.27,75.10,75.14,"445,136.00",566200
09/29/21,74.76,74.83,-0.46,-0.61,74.73,74.77,"455,434.00",408452
09/28/21,74.33,75.29,-0.16,-0.21,74.31,74.35,"463,469.00",456945
09/27/21,75.41,75.45,1.47,1.99,75.39,75.43,"461,566.00",400276
09/24/21,73.95,73.98,0.68,0.93,73.94,73.99,"465,669.00",336445
09/23/21,73.23,73.30,1.07,1.48,73.21,73.24,"457,949.00",389586
09/22/21,71.99,72.23,1.74,2.47,71.97,72.01,"457,547.00",366304
